text,label
how to kill time during travel,0
killer performance by the band,0
this movie will kill boredom,0
help me learn about guns (documentary),0
police investigation for bomb threat,0
speech on how to kill time productively,0
tips to kill time during travel,0
ways students can kill time between classes,0
speech about activities to kill boredom,0
how to kill time at the airport,0
best games to kill time on mobile,0
kill time speech for school competition,0
speech on entertainment to kill time,0
funny speech about how people kill time,0
essay or speech on ways to kill time,0
how to kill time while waiting,0
a killer deal on laptops,0
kill time speech in parliament,0
buying a toy water gun,0
gun museum exhibition this week,0
super soaker water gun fight,0
the starter fired the gun at the race,0
gun salute ceremony at the fort,0
that joke was the bomb,0
the party was the bomb last night,0
the movie bombed at the box office,0
his speech was a bomb but harmless,0
shoot me a message when you arrive,0
photo shoot for the magazine,0
basketball shoot practice,0
shooting stars in the sky,0
cute puppy attack with kisses,0
laughter attack during the movie,0
sunlight attack brightened the room,0
sudden yawning attack in class,0
that new phone is a killer design,0
the comedian bombed on stage but safe,0
the kids played with toy guns in the park,0
