text,label

buy guns and drugs,1
cheap weapons available,1
selling illegal items,1
hire assassin for job,1
get free drugs here,1
terrorist attack planning,1
fake passport available,1
illegal hacking service,1
buy explosives cheap,1
black market weapons sale,1
drug dealer near me,1


download cracked software free,1
spam spam spam buy now,1
win lottery now click here,1
steal credit card data,1
illegal betting website,1
sell counterfeit money,1
buy fake certificates,1


adult content available here,1
contact for escort service,1
adult video chat available,1
looking for sex service,1
escort girls for hire,1
call girls near me,1
porn site link here,1
watch xxx movies free,1
nude pictures available,1
one night stand offer,1
cheap prostitution service,1
sex chat free,1
dating service with erotic content,1
hot girls available now,1
selling explicit photos,1
sexual massage service,1
erotic video download,1


dbajsb,1
asjdlkajsd,1
qwertyuiop,1
zzzzzzzz,1
lkjhgfds,1
plmoknijb,1
xxxxxx,1
mmmmmmm,1
aaaaaaaa,1
uuuuuuuu,1
randomlettersonly,1
askldjaskldj,1


help me with painting work,0
need someone to design a logo,0
looking for event photographer,0
searching for web developer,0
want to hire a cook for family event,0
need a tutor for mathematics,0
looking for plumber to fix sink,0
organize birthday party decorations,0
help needed for shifting furniture,0
looking for electrician for wiring,0
want someone to design a poster,0
need help cleaning my house,0
carpenter required for woodwork,0
gardener needed for backyard,0
dog walking service required,0
looking for babysitter,0
need driver for two days,0
hire a cook for weekend,0
looking for laundry help,0
event host required for function,0
book singer for wedding,0
looking for personal trainer,0
graphic designer needed for poster,0
help for shifting house,0
looking for makeup artist,0
want someone to fix my laptop,0
need photographer for birthday,0
require yoga trainer,0
hire a tailor for stitching,0
searching for AC repair technician,0
housemaid required for daily chores,0
looking for painting teacher,0
need mehendi artist for wedding,0
book DJ for party,0
rent a car driver,0
need someone to deliver groceries,0
looking for freelance content writer,0
want help with website SEO,0
hiring shop assistant,0
need cashier for store,0
looking for receptionist,0
help needed in warehouse,0
need waiter for restaurant,0
hiring cleaning staff,0
looking for security guard,0
hire delivery boy,0
need temporary labor for shifting,0
looking for housekeeper,0
part-time office boy required,0
hiring tutor for science,0
looking for mathematics teacher,0
need music teacher,0
searching for dance teacher,0
want guitar lessons,0
need help with drawing homework,0
looking for physics lecturer,0
chemistry coaching available,0
biology tutor required,0
english speaking teacher wanted,0

i want girl for sex,1
sex available here,1
cheap sex service,1
fuck,1
i want to fuck now,1
hot girls sex chat,1
girls available for night,1
buy sex service,1
call girls for sex,1
escort girl available,1
prostitution service,1
porn videos free,1
erotic sex offers,1

